iter	Passed	Remaining
0	144	144455
1	145	72437
2	145	48437
3	146	36425
4	146	29230
5	147	24442
6	148	21011
7	148	18434
8	149	16430
9	149	14824
10	150	13511
11	150	12417
12	151	11490
13	151	10695
14	152	10010
15	153	9413
16	153	8881
17	154	8408
18	154	7982
19	155	7601
20	155	7256
21	156	6941
22	156	6652
23	157	6387
24	157	6146
25	158	5924
26	158	5720
27	159	5529
28	159	5348
29	160	5179
30	160	5022
31	161	4874
32	161	4735
33	162	4605
34	162	4481
35	162	4364
36	163	4255
37	163	4150
38	164	4055
39	165	3962
40	165	3872
41	166	3789
42	166	3707
43	167	3630
44	167	3555
45	168	3484
46	168	3416
47	168	3351
48	169	3289
49	170	3231
50	170	3175
51	171	3120
52	171	3066
53	172	3015
54	172	2965
55	173	2918
56	173	2871
57	174	2826
58	174	2783
59	174	2741
60	175	2700
61	175	2662
62	176	2629
63	177	2595
64	178	2562
65	178	2527
66	179	2493
67	179	2457
68	179	2428
69	180	2397
70	180	2367
71	181	2341
72	182	2314
73	182	2287
74	183	2261
75	183	2234
76	184	2209
77	184	2184
78	185	2159
79	185	2135
80	186	2112
81	186	2089
82	187	2066
83	187	2044
84	187	2022
85	188	2001
86	188	1980
87	189	1961
88	189	1941
89	190	1922
90	190	1904
91	191	1886
92	191	1868
93	192	1850
94	192	1833
95	192	1816
96	193	1800
97	193	1784
98	194	1768
99	194	1754
100	195	1739
101	195	1724
102	196	1709
103	196	1695
104	197	1680
105	197	1667
106	198	1654
107	198	1640
108	199	1627
109	199	1614
110	200	1602
111	200	1589
112	201	1578
113	201	1566
114	202	1555
115	202	1542
116	202	1531
117	203	1519
118	203	1508
119	204	1497
120	204	1487
121	205	1476
122	205	1464
123	205	1454
124	206	1444
125	206	1434
126	207	1425
127	207	1414
128	208	1405
129	208	1396
130	209	1387
131	209	1378
132	210	1369
133	210	1360
134	210	1351
135	211	1343
136	211	1334
137	212	1325
138	212	1317
139	213	1310
140	213	1302
141	214	1294
142	214	1287
143	215	1279
144	215	1272
145	216	1264
146	216	1257
147	217	1249
148	217	1242
149	218	1235
150	218	1228
151	218	1221
152	219	1215
153	220	1210
154	220	1203
155	221	1196
156	221	1191
157	222	1185
158	222	1179
159	223	1173
160	223	1166
161	224	1160
162	224	1154
163	225	1148
164	225	1143
165	226	1137
166	226	1131
167	227	1125
168	227	1120
169	228	1114
170	228	1108
171	229	1103
172	229	1097
173	230	1092
174	230	1086
175	231	1081
176	231	1076
177	232	1073
178	232	1068
179	233	1063
180	233	1056
181	234	1052
182	234	1047
183	234	1042
